refFile1	refFile2
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/103_5_3256_3260_pos_ee248ed6-cf3d-4217-bc71-446d199de739_1cf31241-b80d-4834-b725-3b5a93fb4580.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/103_5_3256_3260_pos_ee248ed6-cf3d-4217-bc71-446d199de739_1cf31241-b80d-4834-b725-3b5a93fb4580.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/103_2_3240_3245_pos_ee248ed6-cf3d-4217-bc71-446d199de739_1cf31241-b80d-4834-b725-3b5a93fb4580.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/103_2_3240_3245_pos_ee248ed6-cf3d-4217-bc71-446d199de739_1cf31241-b80d-4834-b725-3b5a93fb4580.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/103_0_3227_3236_pos_ee248ed6-cf3d-4217-bc71-446d199de739_1cf31241-b80d-4834-b725-3b5a93fb4580.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/103_0_3227_3236_pos_ee248ed6-cf3d-4217-bc71-446d199de739_1cf31241-b80d-4834-b725-3b5a93fb4580.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/107_3_2099_2105_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/107_3_2099_2105_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/107_0_2091_2096_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/107_0_2091_2096_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/105_12_2021_2027_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/105_12_2021_2027_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/105_11_2014_2021_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/105_11_2014_2021_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/105_9_2002_2006_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/105_9_2002_2006_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/3_1_176_185_pos_da3bece8-7c44-45e9-8160-ae4d3a78377e_ad9c91b3-69ac-4017-aac2-042321fcf179.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/3_1_176_185_pos_da3bece8-7c44-45e9-8160-ae4d3a78377e_ad9c91b3-69ac-4017-aac2-042321fcf179.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/3_2_185_191_pos_da3bece8-7c44-45e9-8160-ae4d3a78377e_ad9c91b3-69ac-4017-aac2-042321fcf179.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/3_2_185_191_pos_da3bece8-7c44-45e9-8160-ae4d3a78377e_ad9c91b3-69ac-4017-aac2-042321fcf179.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/3_4_193_198_pos_da3bece8-7c44-45e9-8160-ae4d3a78377e_ad9c91b3-69ac-4017-aac2-042321fcf179.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/3_4_193_198_pos_da3bece8-7c44-45e9-8160-ae4d3a78377e_ad9c91b3-69ac-4017-aac2-042321fcf179.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/187_8_4084_4089_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/187_8_4084_4089_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/188_0_4101_4109_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/188_0_4101_4109_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav
https://storageboefraty.blob.core.windows.net/mycontainerpublic/atags/positive/188_1_4109_4115_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav	https://vocalemotions.blob.core.windows.net/vocalpublic/atags/positive/188_1_4109_4115_pos_ec29000e-1d3b-4b90-9bd8-602c0abbc58b_f469dd2f-91d5-4be8-8d7c-000ce9904e29.wav
